Rname	total_insertions	meanFreq	length	activity
HMS-Beagle	406	0.146375792	7062	active
accord2	264	0.143398268	7650	active
Doc2	223	0.143497758	4789	active
Tabor	203	0.143560873	7345	active
Nomad	158	0.14556962	6879	active
mdg1	137	0.142857143	7480	active
BS	109	0.142857143	5142	active
F-element	97	0.162002946	4708	active
roo	87	0.147783251	9092	active
Doc	83	0.146299484	4725	active
ZAM	81	0.142857143	8435	active
DM_17.6	79	0.150090416	7439	active
1360	78	0.179487179	3409	active
jockey	65	0.153846154	5020	active
copia	59	0.147699758	5143	active
hopper	55	0.142857143	1435	active
DM_297	55	0.158441558	6995	active
family-0_MULE-NOF	52	0.184065934	1418	active
pogo	43	0.156146179	2121	active
DM_412	39	0.153846154	7455	active
I-element	39	0.157509158	5371	active
FB	39	0.168498168	1106	active
Max-element	38	0.15037594	8556	active
Quasimodo	35	0.146938776	7387	active
hobo	34	0.142857143	2959	active
Stalker2	31	0.142857143	7672	active
Transpac	30	0.157142857	5249	active
mdg3	28	0.153061224	5519	active
P-element	25	0.142857143	2907	active
S-element	25	0.16	1736	active
flea	25	0.165714286	5034	active
Stalker4	24	0.142857143	7359	active
gypsy5	24	0.142857143	7369	active
G-element	24	0.142857143	4346	active
family-92_copia-like	24	0.142857143	2231	active
McClintock	24	0.148809524	6450	active
rnd-1_family-66_PK	23	0.155279503	7571	active
blood	21	0.149659864	7410	active
Rt1b	20	0.142857143	5171	active
family-325_gypsy	20	0.142857143	4661	active
family-1205_Tc3	20	0.142857143	1617	active
TAHRE	19	0.142857143	10463	active
family-134_gypsy	19	0.142857143	3573	active
family-447_HETA-like	17	0.142857143	6179	active
Rt1a	17	0.168067227	5108	active
GATE	16	0.160714286	8507	active
Juan	16	0.178571429	4236	active
gypsy2S	15	0.142857143	7401	active
G2	15	0.142857143	3102	active
R1	15	0.152380952	5356	active
Burdock	15	0.152380952	6411	active
accord	15	0.152380952	7404	active
Idefix	15	0.171428571	6816	active
family-0_copia-like	15	0.19047619	NA	active
springer	13	0.142857143	7546	active
gypsy7	13	0.142857143	5486	active
gypsy2	13	0.186813187	6841	active
family-3116_gypsy	12	0.142857143	2362	active
Tirant	12	0.178571429	8526	active
gypsy11	11	0.142857143	4428	active
family-999_gypsy	11	0.142857143	3524	active
family-15_G-like	11	0.142857143	6710	active
invader2	11	0.155844156	5124	active
gypsy6	11	0.155844156	7878	active
Doc3	11	0.168831169	4740	active
Phidippo	10	0.142857143	NA	active
gypsy	10	0.142857143	7469	active
X-element	10	0.2	4740	active
family-5_DNAREP1-like	10	0.214285714	2363	active
TART-C	9	0.142857143	11124	active
rover	9	0.142857143	7318	active
Phanio_Dmel	9	0.142857143	7409	active
Ivk	9	0.142857143	5402	active
HeT-A	9	0.142857143	6083	active
G6	9	0.174603175	2042	active
