Rname	total_insertions	meanFreq	consensusLength
ZAM	81	0.142857142857143	8435
X-element	10	0.2	4740
Transpac	30	0.157142857142857	5249
Transib5	3	0.142857142857143	3001
transib4	2	0.142857142857143	2656
transib3	2	0.142857142857143	2883
Transib2	4	0.25	2844
transib1	5	0.228571428571429	2167
Tirant	12	0.178571428571429	8526
Tc3	5	0.142857142857143	1743
Tc1-2	1	0.142857142857143	1644
Tc1_DM	4	0.142857142857143	1666
TART-C	9	0.142857142857143	11124
TART-B	8	0.142857142857143	10654
TART-A	2	0.142857142857143	13424
TAHRE	19	0.142857142857143	10463
Tabor	203	0.143560872624912	7345
Stalker4	24	0.142857142857143	7359
Stalker2	31	0.142857142857143	7672
springer	13	0.142857142857143	7546
S-element	25	0.16	1736
S2	4	0.142857142857143	1735
Rt1c	3	0.142857142857143	NA
Rt1b	20	0.142857142857143	5171
Rt1a	17	0.168067226890756	5108
rover	9	0.142857142857143	7318
rooA	3	0.142857142857143	7621
roo	87	0.147783251231527	9092
rnd-5_family-560_Pao	4	0.142857142857143	2237
rnd-5_family-3655_gypsy	4	0.142857142857143	4518
rnd-1_family-97_LINE_R1	1	0.142857142857143	NA
rnd-1_family-85_gypsy	7	0.142857142857143	2289
rnd-1_family-67_LINE	3	0.142857142857143	NA
rnd-1_family-66_PK	23	0.15527950310559	7571
rnd-1_family-379_gypsy	3	0.142857142857143	NA
rnd-1_family-3_DNAREP1	8	0.178571428571429	854
rnd-1_family-253_LINE	4	0.25	NA
rnd-1_family-13_jockey	2	0.142857142857143	3909
rnd-1_family-103_gypsy	4	0.142857142857143	NA
rnd-1_family-1_copia	1	0.142857142857143	4063
R2-element	1	0.142857142857143	3607
R1	15	0.152380952380952	5356
Quasimodo	35	0.146938775510204	7387
pogo	43	0.156146179401993	2121
Pifo_A	5	0.2	7699
Phidippo	10	0.142857142857143	NA
Phanio_Dmel	9	0.142857142857143	7409
P-element	25	0.142857142857143	2907
Nomad	158	0.145569620253165	6879
NOF	3	0.142857142857143	4347
ninja-aurora	4	0.142857142857143	4263
micropia	4	0.142857142857143	5461
mdg3	28	0.153061224489796	5519
mdg1	137	0.142857142857143	7480
McClintock	24	0.148809523809524	6450
Max-element	38	0.150375939849624	8556
mariner2	1	0.142857142857143	912
ltr-1_family-103_Pao	2	0.142857142857143	4990
Juan	16	0.178571428571429	4236
jockey2	2	0.142857142857143	3428
jockey	65	0.153846153846154	5020
Ivk	9	0.142857142857143	5402
invader5	2	0.142857142857143	4038
invader4	2	0.142857142857143	3105
invader3	4	0.214285714285714	5484
invader2	11	0.155844155844156	5124
invader1	7	0.163265306122449	4032
I-element	39	0.157509157509158	5371
Idefix	15	0.171428571428571	6816
hopper2	1	0.142857142857143	1593
hopper	55	0.142857142857143	1435
hobo	34	0.142857142857143	2959
HMS-Beagle	406	0.146375791695989	7062
HeT-A	9	0.142857142857143	6083
Helena	1	0.142857142857143	1317
HB	5	0.142857142857143	1653
gypsy9	6	0.142857142857143	5349
gypsy8	4	0.142857142857143	4955
gypsy7	13	0.142857142857143	5486
gypsy6	11	0.155844155844156	7878
gypsy5	24	0.142857142857143	7369
gypsy4	8	0.142857142857143	6852
gypsy3	7	0.183673469387755	6973
gypsy2S	15	0.142857142857143	7401
gypsy2	13	0.186813186813187	6841
gypsy12A	4	0.142857142857143	2280
gypsy12	4	0.214285714285714	10218
gypsy11	11	0.142857142857143	4428
gypsy10	3	0.142857142857143	6006
gypsy	10	0.142857142857143	7469
gtwin	1	0.142857142857143	7411
G-element	24	0.142857142857143	4346
Gedeo	2	0.142857142857143	NA
GATE	16	0.160714285714286	8507
G6	9	0.174603174603175	2042
G5A	5	0.314285714285714	2841
G5	1	0.142857142857143	4856
G4	4	0.142857142857143	3856
G3	6	0.142857142857143	4605
G2	15	0.142857142857143	3102
Fw3	1	0.142857142857143	3132
Fw2	1	0.142857142857143	3961
frogger	2	0.142857142857143	2483
flea	25	0.165714285714286	5034
F-element	97	0.1620029455081	4708
FB	39	0.168498168498168	1106
family-999_gypsy	11	0.142857142857143	3524
family-92_copia-like	24	0.142857142857143	2231
family-82_TIRANT-like	3	0.19047619047619	6133
family-732_gypsy	2	0.142857142857143	2020
family-73_roo-like	3	0.142857142857143	5680
family-7121_ninja-like	1	0.142857142857143	4041
family-70_diver-like	2	0.214285714285714	4890
family-66_blastopia-like	1	0.142857142857143	4454
family-63_micropia-like	4	0.142857142857143	4582
family-58_micropia-like	6	0.166666666666667	4578
family-53_gypsy_trunc	5	0.142857142857143	NA
family-5_DNAREP1-like	10	0.214285714285714	2363
family-4955_hAT	6	0.142857142857143	990
family-47_baggins-like	4	0.285714285714286	1560
family-46_R1-like	1	0.142857142857143	NA
family-447_HETA-like	17	0.142857142857143	6179
family-4408_gypsy	2	0.142857142857143	2650
family-3830_accord-like	1	0.142857142857143	2248
family-358_hAT	1	0.142857142857143	3180
family-325_gypsy	20	0.142857142857143	4661
family-3116_gypsy	12	0.142857142857143	2362
family-3_Helitron	9	0.174603174603175	1475
family-252_hAT_BEDzf	1	0.142857142857143	1106
family-2266_Blastopia-like	1	0.142857142857143	2318
family-2226_Tc1-like	1	0.285714285714286	1616
family-222_Circe	7	0.142857142857143	NA
family-15_G-like	11	0.142857142857143	6710
family-149_HMS-beagle	3	0.142857142857143	2763
family-1439_transib-N1-like	1	0.142857142857143	1774
family-139_FW2-like	5	0.171428571428571	4740
family-134_gypsy	19	0.142857142857143	3573
family-123_gypsy	2	0.142857142857143	3881
family-1205_Tc3	20	0.142857142857143	1617
family-117_gypsy	6	0.142857142857143	5642
family-113_micropia-like	5	0.142857142857143	3978
family-1124_gypsy-frag	7	0.142857142857143	2059
family-110_gypsy_SAP	3	0.142857142857143	2767
family-105_gypsy	3	0.142857142857143	2280
family-100_HMS-beagle	2	0.142857142857143	1616
family-0_MULE-NOF	52	0.184065934065934	1418
family-0_copia-like	15	0.19047619047619	NA
Doc5	4	0.178571428571429	4682
Doc4	1	0.142857142857143	2791
Doc3	11	0.168831168831169	4740
Doc2	223	0.143497757847534	4789
Doc	83	0.146299483648881	4725
DNAREP1-like	8	0.142857142857143	599
Dm88	6	0.214285714285714	4558
DM_412	39	0.153846153846154	7455
DM_297	55	0.158441558441558	6995
DM_1731	3	0.142857142857143	4648
DM_17.6	79	0.150090415913201	7439
diver2	7	0.163265306122449	4917
diver	4	0.142857142857143	6112
copia2	1	0.142857142857143	4558
copia	59	0.147699757869249	5143
Circe	2	0.142857142857143	7450
Chouto	1	0.142857142857143	6951
Burdock	15	0.152380952380952	6411
BS3	1	0.142857142857143	1790
BS2	4	0.142857142857143	4721
BS	109	0.142857142857143	5142
blood	21	0.149659863945578	7410
Bica	5	0.142857142857143	4943
BEL	8	0.178571428571429	6126
Bari1	7	0.163265306122449	1728
